Comprobante|Fecha|Modulo|Cuenta|Debe|Haber
CMP-001|15/8/2026 17:44:42|EMISION|1010|598,58|0,00
CMP-001|15/8/2026 17:44:42|EMISION|2020|0,00|250,00
CMP-001|15/8/2026 17:44:42|EMISION|4010|0,00|250,50
CMP-001|15/8/2026 17:44:42|EMISION|2030|0,00|98,08
CMP-002|15/8/2026 17:45:04|EMISION|1010|598,58|0,00
CMP-002|15/8/2026 17:45:04|EMISION|2020|0,00|250,00
CMP-002|15/8/2026 17:45:04|EMISION|4010|0,00|250,50
CMP-002|15/8/2026 17:45:04|EMISION|2030|0,00|98,08
CMP-003|15/8/2026 17:45:34|EMISION|1010|89702,30|0,00
CMP-003|15/8/2026 17:45:34|EMISION|2020|0,00|37500,00
CMP-003|15/8/2026 17:45:34|EMISION|4010|0,00|37502,00
CMP-003|15/8/2026 17:45:34|EMISION|2030|0,00|14700,30
CMP-004|15/8/2026 17:45:59|REASEGURO|5020|1350000,00|0,00
CMP-004|15/8/2026 17:45:59|REASEGURO|2010|0,00|1350000,00
CMP-005|15/8/2026 17:46:20|SINIESTRO|5030|5400,00|0,00
CMP-005|15/8/2026 17:46:20|SINIESTRO|2040|0,00|5400,00
CMP-006|15/8/2026 17:46:40|ASIENTO TOTAL|1010|89702,30|0,00
CMP-006|15/8/2026 17:46:40|ASIENTO TOTAL|2020|0,00|37500,00
CMP-006|15/8/2026 17:46:40|ASIENTO TOTAL|4010|0,00|37502,00
CMP-006|15/8/2026 17:46:40|ASIENTO TOTAL|2030|0,00|14700,30
CMP-006|15/8/2026 17:46:40|ASIENTO TOTAL|5020|1350000,00|0,00
CMP-006|15/8/2026 17:46:40|ASIENTO TOTAL|2010|0,00|1350000,00
