Fecha|Nivel|Modulo|Accion|Mensaje
15/8/2026 17:39:21|INFORMACION|EMISIONES|EMITIR POLIZA|Poliza POL-001 emitida correctamente.
15/8/2026 17:41:05|INFORMACION|REASEGUROS|CALCULAR REPARTO|Reparto de la poliza POL-001 guardado correctamente.
15/8/2026 17:41:48|INFORMACION|EMISIONES|EMITIR POLIZA|Poliza POL-002 emitida correctamente.
15/8/2026 17:42:38|INFORMACION|REASEGUROS|CALCULAR REPARTO|Reparto de la poliza POL-002 guardado correctamente.
15/8/2026 17:43:51|INFORMACION|SINIESTROS|REGISTRAR SINIESTRO|Siniestro SIN-001 registrado correctamente.
15/8/2026 17:44:16|INFORMACION|SINIESTROS|ERROR|El monto supera el capital remanente de la poliza.
15/8/2026 17:44:42|INFORMACION|CONTABILIDAD|GENERAR ASIENTO|Comprobante CMP-001 generado desde EMISION.
15/8/2026 17:45:04|INFORMACION|CONTABILIDAD|GENERAR ASIENTO|Comprobante CMP-002 generado desde EMISION.
15/8/2026 17:45:34|INFORMACION|CONTABILIDAD|GENERAR ASIENTO|Comprobante CMP-003 generado desde EMISION.
15/8/2026 17:45:59|INFORMACION|CONTABILIDAD|GENERAR ASIENTO|Comprobante CMP-004 generado desde REASEGURO.
15/8/2026 17:46:20|INFORMACION|CONTABILIDAD|GENERAR ASIENTO|Comprobante CMP-005 generado desde SINIESTRO.
15/8/2026 17:46:40|INFORMACION|CONTABILIDAD|GENERAR ASIENTO|Comprobante CMP-006 generado desde ASIENTO TOTAL.
15/8/2026 17:48:33|INFORMACION|EMISIONES|DAR DE BAJA POLIZA|Poliza POL-001 marcada como inactiva.
15/8/2026 17:48:50|INFORMACION|SINIESTROS|ERROR|La poliza no se encuentra activa.
